plot,accuracy,precisions,recalls,f1-scores,learning rate,batch size,number epochs,loss function,optimizer,convolutional layers,train-validation time,time per computation
1,0.5990691489361702,0.6331877729257642,0.4,0.49027895181741343,0.00001,50,2,NLLLoss(),0,3,13.682786703109741,0.00016802500249468721
2,0.53125,0.5092250922509225,0.7613793103448275,0.6102819237147595,0.00001,50,2,NLLLoss(),1,3,10.907868385314941,0.0004225000011501834
3,0.9933510638297872,0.99039780521262,0.9958620689655172,0.9931224209078404,0.00001,50,30,NLLLoss(),0,3,220.41748189926147,0.0002609999974083621
4,1.0,1.0,1.0,1.0,0.00001,50,30,NLLLoss(),0,3,243.6120147705078,0.0002498030662536621
5,0.9913563829787234,0.989010989010989,0.993103448275862,0.9910529938059187,0.00001,50,30,NLLLoss(),1,3,542.612381696701,0.000250399112701416
6,0.8304521276595744,0.8012820512820513,0.8620689655172413,0.8305647840531561,0.00001,50,30,NLLLoss(),1,3,213.714289188385,0.0001652750033827033
7,0.9833776595744681,0.9847645429362881,0.9806896551724138,0.9827228749136143,0.00001,50,30,NLLLoss(),1,3,236.84126162528992,0.0002454519271850586
8,0.9966755319148937,0.9945054945054945,0.9986206896551724,0.9965588437715072,0.00010,50,30,NLLLoss(),0,3,215.50269174575806,0.00025087594985961914
9,1.0,1.0,1.0,1.0,0.00010,50,30,NLLLoss(),0,3,216.35970187187195,0.0001747999995131977
10,0.9980053191489362,0.9986187845303868,0.9972413793103448,0.9979296066252588,0.00010,50,30,NLLLoss(),0,3,240.22982263565063,0.0002688765525817871
11,0.9980053191489362,0.9958791208791209,1.0,0.9979353062629044,0.00010,50,30,NLLLoss(),1,3,237.52727556228638,0.00025844573974609375
12,1.0,1.0,1.0,1.0,0.00010,50,30,NLLLoss(),1,3,218.97892427444458,0.0001888250008050818
13,1.0,1.0,1.0,1.0,0.00010,50,30,NLLLoss(),1,3,247.42189002037048,0.0
14,0.4820478723404255,0.4820478723404255,1.0,0.6505159264244055,0.00100,50,30,NLLLoss(),0,3,225.9722650051117,0.00024944543838500977
15,0.9973404255319149,0.9986168741355463,0.9958620689655172,0.9972375690607735,0.00100,50,30,NLLLoss(),0,3,240.57911658287048,0.0
16,0.964095744680851,0.9985141158989599,0.926896551724138,0.9613733905579398,0.00100,50,30,NLLLoss(),1,3,242.46271514892578,0.00030666589736938477
17,0.9867021276595744,0.9731543624161074,1.0,0.9863945578231292,0.00100,50,30,NLLLoss(),1,3,236.0660536289215,0.0002499818801879883
18,0.5179521276595744,0.0,0.0,0.0,0.01000,50,30,NLLLoss(),0,3,214.93324160575867,0.00025087594985961914
19,0.4820478723404255,0.4820478723404255,1.0,0.6505159264244055,0.01000,50,30,NLLLoss(),1,3,221.976318359375,0.00025081634521484375
